"","year","net_income","total_assets"
"1",2013,14782,28352
"2",2013,48119,76158
"3",2013,876,19374
"4",2013,240,22651
"5",2013,3068,21200
"6",2013,3591,49360
"7",2013,2620,168000
"8",2013,3274,33053
"9",2013,1830,12950
"10",2013,18950,367834
"11",2013,6757,359792
"12",2013,2602,34369
"13",2013,913,22579
"14",2013,1742,30150
"15",2013,695,9082
"16",2013,1591,20014
"17",2013,-7986,80776
"18",2013,-474,5550
"19",2013,15870,312046
"20",2013,1907,50968
"21",2013,2518,18735
"22",2013,12314,24686
"23",2013,282,12876
"24",2013,984,155631
"25",2013,31,49175
"26",2013,609,26860
"27",2013,2745,29035
"28",2013,1,17000
"29",2013,5001,26326
"30",2013,23240,80408
"31",2013,413,13487
"32",2013,473,13637
"33",2013,4332,33682
"34",2013,11782,100841
"35",2013,-8787,60816
"36",2013,109,19819
"37",2013,1694,2000
"38",2013,-349,34063
"39",2013,747,1734
"40",2013,939,12930
"41",2013,0,1740
"42",2013,5361,50007
"43",2013,567,22653
"44",2013,173,2209
"45",2013,4925,12631
"46",2013,7932,9160
"47",2013,2360,18113
"48",2013,707,8235
"49",2013,285,13236
"50",2013,817,12836
"51",2013,78,2941
"52",2013,296,12779
"53",2013,374,16716
"54",2013,7856,45660
"55",2013,1341,8486
"56",2013,438216,1380420
"57",2013,1341,6719
"58",2013,9431,73997
"59",2013,1806,12601
"60",2013,12036,35000
"61",2013,2155,29044
"62",2013,1152,6473
"63",2013,995,4692
"64",2013,3391,2762
"65",2013,461,44878
"66",2013,268,11896
"67",2013,44,40054
"68",2013,209,15369
"69",2013,-189,13413
"70",2013,217,3264
"71",2013,2309,19039
"72",2013,12634,187637
"73",2013,7840,29150
"74",2013,3873,65543
"75",2013,2219,27123
"76",2013,2972,4856
"77",2013,1458,9150
"78",2013,5829,28164
"79",2013,870,12193
"80",2013,4917,34923
"81",2013,215,51652
"82",2013,135,30206
"83",2013,2846,13086
"84",2013,2186,13218
"85",2013,3857,6973
"86",2013,285,9792
"87",2013,8129,87876
"88",2013,1276,154550
"89",2013,690,4676
"90",2013,692,456401
"91",2013,1240,474751
"92",2013,2114,4836
"93",2013,229,13999
"94",2013,6674,23748
"95",2013,1089,13025
"96",2013,5906,10810
"97",2013,-154,230346
"98",2013,2991,14458
"99",2013,5136,8030
"100",2013,2236,24464
"101",2013,759,4502
"102",2013,474,6533
"103",2013,-12430,16172
"104",2013,639,26552
"105",2013,1069,21616
"106",2013,27485,43267
"107",2013,1796,528854
"108",2013,19355,55650
"109",2013,4607,24124
"110",2013,2020,75615
"111",2013,3160,43950
"112",2013,7330,14596
"113",2013,144,7937
"114",2013,-682,10044
"115",2013,780,7150
"116",2013,1147,51432
"117",2013,107583,1037440
"118",2013,481,14298
"119",2013,1344,22764
"120",2013,-443,39873
"121",2013,3621,37812
"122",2013,2000,10000
"123",2013,12,40406
"124",2013,3365,5899
"125",2013,56877,134290
"126",2013,-357,60292
"127",2013,701,847842
"128",2013,3138,74214
"129",2013,2272,4404
"130",2013,15010,31777
"131",2013,5697,37277
"132",2013,1500,80380
"133",2013,-54,16874
"134",2013,273,30607
"135",2013,2531,9592
"136",2013,5679,34550
"137",2013,18201,19849
"138",2013,178,12079
"139",2013,14763,43285
"140",2013,2195,7170
"141",2013,-4679,168745
"142",2013,1248,13212
"143",2013,-1230,12450
"144",2013,993,7214
"145",2013,1399,11397
"146",2013,502,16282
"147",2013,-6966,38082
"148",2013,7511,64815
"149",2013,181,21499
"150",2013,4850,568690
"151",2013,620,16363
"152",2013,2447,9422
"153",2013,7871,91971
"154",2013,-2977,5457
"155",2013,1258,14635
"156",2013,6075,18569
"157",2013,18766,21945
"158",2013,1635,28318
"159",2013,392,8021
"160",2013,857,22414
"161",2013,14376,113920
"162",2013,5725,9357
"163",2013,2180,4615
"164",2013,1294,6892
"165",2013,1047,14349
"166",2013,2785,7820
"167",2013,3406,38649
"168",2013,3181,6181
"169",2013,2631,10352
"170",2013,57498,1014670
"171",2013,1560,21050
"172",2013,8900,185000
"173",2013,7105,13240
"174",2013,-3120,17338
"175",2013,10578,8501
"176",2013,56,11056
"177",2013,1064,12578
"178",2013,2677,37785
"179",2013,942,8730
"180",2013,12074,1214294
"181",2013,18020,183032
"182",2013,3452,29859
"183",2013,3221,16554
"184",2013,2315,10674
"185",2013,160,7207
"186",2013,1348,64183
"187",2013,3731,26348
"188",2013,22,21897
"189",2013,2524,47657
"190",2013,369,11991
"191",2013,-16976,408163
