"","parameter","method","value","data_type","iterations","metric"
"1","itct","model","1","sim_hetero",60,"coverage"
"2","itct","model","0","sim_hetero",60,"too_high"
"3","itct","model","0","sim_hetero",60,"too_low"
"4","slope","model","0.916","sim_hetero",60,"coverage"
"5","slope","model","0.044","sim_hetero",60,"too_high"
"6","slope","model","0.04","sim_hetero",60,"too_low"
"7","itct","cases","0.932","sim_hetero",60,"coverage"
"8","itct","cases","0.038","sim_hetero",60,"too_high"
"9","itct","cases","0.03","sim_hetero",60,"too_low"
"10","slope","cases","0.916","sim_hetero",60,"coverage"
"11","slope","cases","0.042","sim_hetero",60,"too_high"
"12","slope","cases","0.042","sim_hetero",60,"too_low"
"13","sigma","cases","0.868","sim_hetero",60,"coverage"
"14","sigma","cases","0.006","sim_hetero",60,"too_high"
"15","sigma","cases","0.126","sim_hetero",60,"too_low"
"16","itct","cases_bca","0.928","sim_hetero",60,"coverage"
"17","itct","cases_bca","0.038","sim_hetero",60,"too_high"
"18","itct","cases_bca","0.034","sim_hetero",60,"too_low"
"19","slope","cases_bca","0.916","sim_hetero",60,"coverage"
"20","slope","cases_bca","0.042","sim_hetero",60,"too_high"
"21","slope","cases_bca","0.042","sim_hetero",60,"too_low"
"22","sigma","cases_bca","0.866","sim_hetero",60,"coverage"
"23","sigma","cases_bca","0.008","sim_hetero",60,"too_high"
"24","sigma","cases_bca","0.126","sim_hetero",60,"too_low"
"25","itct","boot_resid","0.93","sim_hetero",60,"coverage"
"26","itct","boot_resid","0.04","sim_hetero",60,"too_high"
"27","itct","boot_resid","0.03","sim_hetero",60,"too_low"
"28","slope","boot_resid","0.92","sim_hetero",60,"coverage"
"29","slope","boot_resid","0.038","sim_hetero",60,"too_high"
"30","slope","boot_resid","0.042","sim_hetero",60,"too_low"
"31","sigma","boot_resid","0.87","sim_hetero",60,"coverage"
"32","sigma","boot_resid","0.006","sim_hetero",60,"too_high"
"33","sigma","boot_resid","0.124","sim_hetero",60,"too_low"
"34","itct","boot_resid_bca","0.934","sim_hetero",60,"coverage"
"35","itct","boot_resid_bca","0.034","sim_hetero",60,"too_high"
"36","itct","boot_resid_bca","0.032","sim_hetero",60,"too_low"
"37","slope","boot_resid_bca","0.92","sim_hetero",60,"coverage"
"38","slope","boot_resid_bca","0.038","sim_hetero",60,"too_high"
"39","slope","boot_resid_bca","0.042","sim_hetero",60,"too_low"
"40","sigma","boot_resid_bca","0.87","sim_hetero",60,"coverage"
"41","sigma","boot_resid_bca","0.006","sim_hetero",60,"too_high"
"42","sigma","boot_resid_bca","0.124","sim_hetero",60,"too_low"
"43","itct","wild","0.934","sim_hetero",60,"coverage"
"44","itct","wild","0.036","sim_hetero",60,"too_high"
"45","itct","wild","0.03","sim_hetero",60,"too_low"
"46","slope","wild","0.92","sim_hetero",60,"coverage"
"47","slope","wild","0.042","sim_hetero",60,"too_high"
"48","slope","wild","0.038","sim_hetero",60,"too_low"
"49","sigma","wild","0.866","sim_hetero",60,"coverage"
"50","sigma","wild","0.008","sim_hetero",60,"too_high"
"51","sigma","wild","0.126","sim_hetero",60,"too_low"
"52","itct","wild_bca","0.934","sim_hetero",60,"coverage"
"53","itct","wild_bca","0.032","sim_hetero",60,"too_high"
"54","itct","wild_bca","0.034","sim_hetero",60,"too_low"
"55","slope","wild_bca","0.922","sim_hetero",60,"coverage"
"56","slope","wild_bca","0.038","sim_hetero",60,"too_high"
"57","slope","wild_bca","0.04","sim_hetero",60,"too_low"
"58","sigma","wild_bca","0.87","sim_hetero",60,"coverage"
"59","sigma","wild_bca","0.006","sim_hetero",60,"too_high"
"60","sigma","wild_bca","0.124","sim_hetero",60,"too_low"
"61","itct","model","0.998","sim_hetero",120,"coverage"
"62","itct","model","0","sim_hetero",120,"too_high"
"63","itct","model","0.002","sim_hetero",120,"too_low"
"64","slope","model","0.936","sim_hetero",120,"coverage"
"65","slope","model","0.032","sim_hetero",120,"too_high"
"66","slope","model","0.032","sim_hetero",120,"too_low"
"67","itct","cases","0.944","sim_hetero",120,"coverage"
"68","itct","cases","0.032","sim_hetero",120,"too_high"
"69","itct","cases","0.024","sim_hetero",120,"too_low"
"70","slope","cases","0.942","sim_hetero",120,"coverage"
"71","slope","cases","0.028","sim_hetero",120,"too_high"
"72","slope","cases","0.03","sim_hetero",120,"too_low"
"73","sigma","cases","0.894","sim_hetero",120,"coverage"
"74","sigma","cases","0.014","sim_hetero",120,"too_high"
"75","sigma","cases","0.092","sim_hetero",120,"too_low"
"76","itct","cases_bca","0.946","sim_hetero",120,"coverage"
"77","itct","cases_bca","0.03","sim_hetero",120,"too_high"
"78","itct","cases_bca","0.024","sim_hetero",120,"too_low"
"79","slope","cases_bca","0.944","sim_hetero",120,"coverage"
"80","slope","cases_bca","0.028","sim_hetero",120,"too_high"
"81","slope","cases_bca","0.028","sim_hetero",120,"too_low"
"82","sigma","cases_bca","0.898","sim_hetero",120,"coverage"
"83","sigma","cases_bca","0.012","sim_hetero",120,"too_high"
"84","sigma","cases_bca","0.09","sim_hetero",120,"too_low"
"85","itct","boot_resid","0.944","sim_hetero",120,"coverage"
"86","itct","boot_resid","0.03","sim_hetero",120,"too_high"
"87","itct","boot_resid","0.026","sim_hetero",120,"too_low"
